"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00008139","unk",2.909,-2.092,0.449,"WBGene00008139","unk",164.479,0.348,0.492
"WBGene00008140","CSR",461.717,0.214,0.348,"WBGene00008140","CSR",778.423,0.138,0.584
"WBGene00008141","ALG",8.188,5.299,0.009,"WBGene00008141","ALG",4.69,5.618,0.051
"WBGene00008142","unk",4.149,-0.84,0.705,"WBGene00008142","unk",14.147,-0.503,0.806
"WBGene00008143","CSR",250.494,0.662,0.018,"WBGene00008143","CSR",1518.674,-0.083,0.719
"WBGene00008144","unk",85.48,0.168,0.744,"WBGene00008144","unk",10.313,-1.794,0.334
"WBGene00008145","CSR",1601.312,-0.232,0.121,"WBGene00008145","CSR",1977.106,-0.196,0.145
"WBGene00008147","unk",206.795,0.109,0.755,"WBGene00008147","unk",1949.849,0.283,0.02
"WBGene00008148","CSR",98.743,0.177,0.71,"WBGene00008148","CSR",1957.672,0.213,0.112
"WBGene00008149","ALG",332.265,-0.12,0.668,"WBGene00008149","ALG",4689.863,0.053,0.731
"WBGene00008150","unk",13.232,0.824,0.544,"WBGene00008150","unk",40.098,-1.25,0.102
"WBGene00008151","CSR",700.682,0.627,0,"WBGene00008151","CSR",1024.248,0.016,0.959
"WBGene00008154","unk",10.014,0.544,0.702,"WBGene00008154","unk",14.277,4.572,0.006
"WBGene00008155","ALG",2.601,3.557,0.264,"WBGene00008155","ALG",4.403,4.05,0.192
"WBGene00008157","unk",99.393,-4.497,0,"WBGene00008157","unk",120.672,-0.155,0.835
"WBGene00008164","unk",1053.608,-0.043,0.832,"WBGene00008164","unk",1090.001,0.256,0.129
"WBGene00008165","unk",529.698,-1.322,0,"WBGene00008165","unk",2561.504,0.242,0.04
"WBGene00008166","CSR",2201.288,0.024,0.895,"WBGene00008166","CSR",3564.861,-0.158,0.193
"WBGene00008167","unk",4.898,1.322,0.493,"WBGene00008167","unk",675.028,-0.072,0.846
"WBGene00008169","CSR",80.322,-0.199,0.705,"WBGene00008169","CSR",374.077,0.271,0.405
"WBGene00008170","CSR",71.528,0.305,0.57,"WBGene00008170","CSR",783.606,0.254,0.232
